,fips,county,state
0,53061.0,Snohomish,Washington
3,17031.0,Cook,Illinois
5,6059.0,Orange,California
8,4013.0,Maricopa,Arizona
9,6037.0,Los Angeles,California
36,6085.0,Santa Clara,California
44,25025.0,Suffolk,Massachusetts
49,6075.0,San Francisco,California
78,55025.0,Dane,Wisconsin
118,6073.0,San Diego,California
143,48029.0,Bexar,Texas
198,31055.0,Douglas,Nebraska
227,6023.0,Humboldt,California
243,6067.0,Sacramento,California
289,6095.0,Solano,California
295,53063.0,Spokane,Washington
310,49035.0,Salt Lake,Utah
317,6041.0,Marin,California
318,6055.0,Napa,California
325,6097.0,Sonoma,California
369,41067.0,Washington,Oregon
372,53033.0,King,Washington
399,6001.0,Alameda,California
411,12057.0,Hillsborough,Florida
412,12081.0,Manatee,Florida
432,6061.0,Placer,California
436,6081.0,San Mateo,California
442,13121.0,Fulton,Georgia
444,25021.0,Norfolk,Massachusetts
447,33009.0,Grafton,New Hampshire
456,53071.0,Walla Walla,Washington
460,6013.0,Contra Costa,California
483,37183.0,Wake,North Carolina
517,34003.0,Bergen,New Jersey
519,36119.0,Westchester,New York
524,48157.0,Fort Bend,Texas
526,53007.0,Chelan,Washington
548,8035.0,Douglas,Colorado
549,8059.0,Jefferson,Colorado
552,12113.0,Santa Rosa,Florida
555,24031.0,Montgomery,Maryland
556,25017.0,Middlesex,Massachusetts
560,32003.0,Clark,Nevada
561,32031.0,Washoe,Nevada
564,36059.0,Nassau,New York
570,47187.0,Williamson,Tennessee
573,48201.0,Harris,Texas
582,4021.0,Pinal,Arizona
598,6113.0,Yolo,California
599,8031.0,Denver,Colorado
601,8037.0,Eagle,Colorado
602,8041.0,El Paso,Colorado
604,12011.0,Broward,Florida
606,12071.0,Lee,Florida
610,13233.0,Polk,Georgia
611,15003.0,Honolulu,Hawaii
613,18097.0,Marion,Indiana
614,21067.0,Fayette,Kentucky
619,27123.0,Ramsey,Minnesota
625,34007.0,Camden,New Jersey
628,36087.0,Rockland,New York
